Coin,ma,ema,bb,obv,rsi,stoch,trix,macd,sar,ichimoku
bitcoin,{'value': 36398.37200000002},{'value': 36100.60193066164},"{'valueUpperBand': 37550.76308778926, 'valueMiddleBand': 36158.368, 'valueLowerBand': 34765.972912210746}",{'value': 191703.36088199995},{'value': 40.8320289340884},"{'valueSlowK': 55.22497569012781, 'valueSlowD': 53.87707486623049}",{'value': 0.00635673325870556},"{'valueMACD': -330.6536623018692, 'valueMACDSignal': -243.19567733998858, 'valueMACDHist': -87.45798496188061}",{'value': 36137.75464287491},"{'conversion': 35576.155, 'base': 36293.5, 'spanA': 35934.8275, 'spanB': 36293.5, 'currentSpanA': 36456.13250000001, 'currentSpanB': 35659.915, 'laggingSpanA': 35550.625, 'laggingSpanB': 35900}"
ethereum,{'value': 1377.859333333335},{'value': 1357.8816082572837},"{'valueUpperBand': 1433.1856120115015, 'valueMiddleBand': 1381.6105000000002, 'valueLowerBand': 1330.035387988499}",{'value': 3865243.019499995},{'value': 47.916261125276954},"{'valueSlowK': 47.67227286675459, 'valueSlowD': 50.50112075594717}",{'value': 0.22681431144759845},"{'valueMACD': 4.087524442575386, 'valueMACDSignal': 12.892458831144868, 'valueMACDHist': -8.804934388569482}",{'value': 1403.503684668334},"{'conversion': 1362.0900000000001, 'base': 1377.275, 'spanA': 1369.575, 'spanB': 1316.9299999999998, 'currentSpanA': 1296.9724999999999, 'currentSpanB': 1272.3200000000002, 'laggingSpanA': 1221.405, 'laggingSpanB': 1224.885}"
polkadot-new,{'value': 16.51157999999998},{'value': 16.33365668958015},"{'valueUpperBand': 17.074531167863157, 'valueMiddleBand': 16.263520000000014, 'valueLowerBand': 15.452508832136873}",{'value': 8655291.770000014},{'value': 38.25146286528129},"{'valueSlowK': 49.70530183048464, 'valueSlowD': 51.25599840197747}",{'value': -0.04097567540355396},"{'valueMACD': -0.2808077633101931, 'valueMACDSignal': -0.22424268090209043, 'valueMACDHist': -0.05656508240810265}",{'value': 16.272389754972952},"{'conversion': 15.93985, 'base': 16.40185, 'spanA': 16.15435, 'spanB': 16.63295, 'currentSpanA': 16.724975, 'currentSpanB': 16.98385, 'laggingSpanA': 17.392175, 'laggingSpanB': 16.717299999999998}"
xrp,{'value': 0.2999773333333333},{'value': 0.2951642608028277},"{'valueUpperBand': 0.3094344609332646, 'valueMiddleBand': 0.29724700000000004, 'valueLowerBand': 0.2850595390667355}",{'value': 952860362.7999992},{'value': 48.88913895274947},"{'valueSlowK': 42.64549452231507, 'valueSlowD': 47.49124056485139}",{'value': 0.10901092468180718},"{'valueMACD': -0.000868386973780555, 'valueMACDSignal': -0.00026100908108744403, 'valueMACDHist': -0.0006073778926931109}",{'value': 0.283613844},"{'conversion': 0.297145, 'base': 0.29754, 'spanA': 0.297145, 'spanB': 0.30158, 'currentSpanA': 0.3038175, 'currentSpanB': 0.29923, 'laggingSpanA': 0.27598, 'laggingSpanB': 0.28256}"
cardano,{'value': 0.3687953333333328},{'value': 0.3665350577527516},"{'valueUpperBand': 0.3828536537379896, 'valueMiddleBand': 0.36736700000000005, 'valueLowerBand': 0.35188034626201053}",{'value': 2449872013.640002},{'value': 39.38719063176658},"{'valueSlowK': 38.37547532958133, 'valueSlowD': 44.84985444691316}",{'value': 0.023276772716984695},"{'valueMACD': -0.003954608627685319, 'valueMACDSignal': -0.002478243516126718, 'valueMACDHist': -0.0014763651115586008}",{'value': 0.37186047558801427},"{'conversion': 0.36144, 'base': 0.36941500000000005, 'spanA': 0.3654075, 'spanB': 0.36941500000000005, 'currentSpanA': 0.3708825, 'currentSpanB': 0.373175, 'laggingSpanA': 0.3776275, 'laggingSpanB': 0.349645}"
litecoin,{'value': 156.7723333333333},{'value': 153.69015955934364},"{'valueUpperBand': 163.21067652006218, 'valueMiddleBand': 154.7590000000002, 'valueLowerBand': 146.30732347993825}",{'value': 1764011.7514699972},{'value': 41.35510126511571},"{'valueSlowK': 33.74731963336418, 'valueSlowD': 41.360957313708866}",{'value': 0.13201451262365715},"{'valueMACD': -1.666605656686869, 'valueMACDSignal': -0.7842536380944164, 'valueMACDHist': -0.8823520185924526}",{'value': 153.65},"{'conversion': 151.74, 'base': 156.675, 'spanA': 154.2075, 'spanB': 152.68, 'currentSpanA': 154.5525, 'currentSpanB': 150.61, 'laggingSpanA': 141.47, 'laggingSpanB': 144.405}"
bitcoin-cash,{'value': 517.8340000000005},{'value': 509.92653040824706},"{'valueUpperBand': 542.114237927179, 'valueMiddleBand': 514.5704999999998, 'valueLowerBand': 487.02676207282065}",{'value': 319353.2553900002},{'value': 40.89547653870008},"{'valueSlowK': 39.05504089894036, 'valueSlowD': 44.85010882773812}",{'value': 0.10687801410591558},"{'valueMACD': -4.373936834081974, 'valueMACDSignal': -1.626365108445377, 'valueMACDHist': -2.747571725636597}",{'value': 512.1427613233058},"{'conversion': 504.995, 'base': 522.55, 'spanA': 513.4975, 'spanB': 512.8050000000001, 'currentSpanA': 506.46000000000004, 'currentSpanB': 495.265, 'laggingSpanA': 478.1625, 'laggingSpanB': 488.5}"
chainlink,{'value': 21.27118666666669},{'value': 21.088972953902122},"{'valueUpperBand': 21.87140595289336, 'valueMiddleBand': 20.950685000000007, 'valueLowerBand': 20.029964047106652}",{'value': 15766578.239999998},{'value': 39.70994843972665},"{'valueSlowK': 50.22022928724755, 'valueSlowD': 57.45356057740795}",{'value': -0.03367144854941051},"{'valueMACD': -0.31071985197542773, 'valueMACDSignal': -0.2866272423425551, 'valueMACDHist': -0.02409260963287263}",{'value': 20.00234812},"{'conversion': 20.5497, 'base': 21.407600000000002, 'spanA': 20.978650000000002, 'spanB': 21.409399999999998, 'currentSpanA': 21.838525, 'currentSpanB': 21.70275, 'laggingSpanA': 22.212575, 'laggingSpanB': 21.56995}"
binance-coin,{'value': 43.60791333333337},{'value': 43.11141794206465},"{'valueUpperBand': 44.324608120918, 'valueMiddleBand': 42.599059999999994, 'valueLowerBand': 40.87351187908199}",{'value': 4461052.832999995},{'value': 37.94535805587386},"{'valueSlowK': 47.989496042915285, 'valueSlowD': 55.69714890903672}",{'value': -0.04127825617724623},"{'valueMACD': -0.746446786029054, 'valueMACDSignal': -0.728027033823434, 'valueMACDHist': -0.018419752205619977}",{'value': 41.07183936},"{'conversion': 42.0546, 'base': 44.11435, 'spanA': 42.984675, 'spanB': 44.11435, 'currentSpanA': 45.227850000000004, 'currentSpanB': 43.903999999999996, 'laggingSpanA': 44.868625, 'laggingSpanB': 43.7569}"
stellar,{'value': 0.30295766666666657},{'value': 0.29922336855303067},"{'valueUpperBand': 0.31440169123880757, 'valueMiddleBand': 0.2995954999999998, 'valueLowerBand': 0.284789308761192}",{'value': 1555317519.089999},{'value': 37.93944215689808},"{'valueSlowK': 36.43932675494698, 'valueSlowD': 42.47591456395256}",{'value': 0.012083046437560974},"{'valueMACD': -0.0039034092110773466, 'valueMACDSignal': -0.002706301376770582, 'valueMACDHist': -0.0011971078343067645}",{'value': 0.3015706551676118},"{'conversion': 0.293595, 'base': 0.302605, 'spanA': 0.29810000000000003, 'spanB': 0.302605, 'currentSpanA': 0.3075025, 'currentSpanB': 0.30291999999999997, 'laggingSpanA': 0.30095249999999996, 'laggingSpanB': 0.29810000000000003}"
